iter	RMSE
0	26.29843314
1	24.1208614
2	22.18363633
3	20.58587516
4	19.11485856
5	17.83416734
6	16.5886105
7	15.4455742388	14.37576063
9	13.39418851
10	12.61142414
11	11.91367032
12	11.33212629
13	10.74956774
14	10.21179131
15	9.798146274
16	9.387509589
17	8.933897851
18	8.62687693
19	8.366431349
20	8.089092079
21	7.922130781
22	7.642723287
23	7.432193076
24	7.318866693
25	7.126417018
26	6.932935761
27	6.810648962
28	6.662410809
29	6.517121471
30	6.422292784
31	6.325430492
32	6.226182948
33	6.144469182
34	6.062585866
35	6.018110754
36	5.941160065
37	5.898095907
38	5.847466186
39	5.763431227
40	5.736103302
41	5.688463614
42	5.637196411
43	5.592930554
44	5.540377388
45	5.444215203
46	5.416027692
47	5.368629248
48	5.274241782
49	5.243103548
50	5.220387508
51	5.186558029
52	5.160208376
53	5.08074973
54	5.00850421
55	4.938536908
56	4.910735084
57	4.854477632
58	4.830894683
59	4.778303915
60	4.707030417
61	4.63936921
62	4.589201481
63	4.532299211
64	4.51432536
65	4.460180084
66	4.398688966
67	4.35047254
68	4.306461656
69	4.274417444
70	4.234720279
71	4.214742431
72	4.180751763
73	4.143540433
74	4.130039072
75	4.100900786
76	4.066599835
77	4.03886277
78	3.991307403
79	3.948085441
80	3.921994007
81	3.906965608
82	3.885725463
83	3.870399007
84	3.829562147
85	3.796645453
86	3.785313889
87	3.76673207
88	3.754022851
89	3.729544885
90	3.702565393
91	3.689815905
92	3.669226392
93	3.657413611
94	3.639174424
95	3.617869248
96	3.600308888
97	3.584919022
98	3.565326458
99	3.55025049
100	3.540009484
101	3.530209993
102	3.516800892
103	3.505124119
104	3.496738106
105	3.487792156
106	3.477282213
107	3.473189594
108	3.462964665
109	3.449977582
110	3.444359328
111	3.436240695
112	3.429603535
113	3.424307416
114	3.418889284
115	3.410345734
116	3.403208723
117	3.394212667
118	3.390672832
119	3.38304601
120	3.376673503
121	3.372223041
122	3.366453972
123	3.360483934
124	3.354069981
125	3.349977407
126	3.344953819
127	3.339266188
128	3.334549453
129	3.328911443
130	3.323818695
131	3.319574176
132	3.314525794
133	3.31112903
134	3.307387663
135	3.304893845
136	3.301455708
137	3.297969048
138	3.294900308
139	3.290340989
140	3.286746261
141	3.283978549
142	3.279724575
143	3.277345825
144	3.274225509
145	3.27028454
146	3.267034797
147	3.264328871
148	3.263720546
149	3.260333777
150	3.256635838
151	3.25523419
152	3.252810645
153	3.250673456
154	3.248080974
155	3.245091488
156	3.242712485
157	3.240564093
158	3.238833382
159	3.236481949
160	3.235668445
161	3.233889086
162	3.230217149
163	3.227827403
164	3.226367363
165	3.22378026
166	3.22182097
167	3.220516629
168	3.219531584
169	3.21882697
170	3.217178425
171	3.215016192
172	3.213967636
173	3.212704527
174	3.210836213
175	3.210390447
176	3.208925886
177	3.205877285
178	3.20343141
179	3.202244774
180	3.201173673
181	3.199635663
182	3.197413674
183	3.195685156
184	3.195217065
185	3.19344287
186	3.191413965
187	3.189904337
188	3.18875084
189	3.187616353
190	3.187353117
191	3.186404751
192	3.185069627
193	3.184232114
194	3.183452368
195	3.183106484
196	3.182447501
197	3.180943164
198	3.179930454
199	3.178577775
3
